Date,SYM,PX_LAST,a,Month
12/17/2021,ACWI,102.77,1,2021-12
12/20/2021,ACWI,101.8,1,2021-12
12/21/2021,ACWI,103.46,1,2021-12
12/22/2021,ACWI,104.43,1,2021-12
12/23/2021,ACWI,105.1,1,2021-12
12/27/2021,ACWI,106.25,1,2021-12
12/28/2021,ACWI,106.14,1,2021-12
12/29/2021,ACWI,106.15,1,2021-12
12/30/2021,ACWI,105.95,1,2021-12
12/31/2021,ACWI,105.78,1,2021-12
1/3/2022,ACWI,106.34,1,2022-01
1/4/2022,ACWI,106.25,1,2022-01
1/5/2022,ACWI,104.52,1,2022-01
1/6/2022,ACWI,104.3,1,2022-01
1/7/2022,ACWI,104.28,1,2022-01
1/10/2022,ACWI,103.98,1,2022-01
1/11/2022,ACWI,105.22,1,2022-01
1/12/2022,ACWI,105.86,1,2022-01
1/13/2022,ACWI,104.44,1,2022-01
1/14/2022,ACWI,104.47,1,2022-01
1/18/2022,ACWI,102.66,1,2022-01
1/19/2022,ACWI,102.04,1,2022-01
1/20/2022,ACWI,101.24,1,2022-01
1/21/2022,ACWI,99.52,1,2022-01
1/24/2022,ACWI,99.36,1,2022-01
1/25/2022,ACWI,98.36,1,2022-01
1/26/2022,ACWI,97.87,1,2022-01
1/27/2022,ACWI,97.37,1,2022-01
1/28/2022,ACWI,98.93,1,2022-01
1/31/2022,ACWI,100.97,1,2022-01
2/1/2022,ACWI,101.75,1,2022-02
2/2/2022,ACWI,102.4,1,2022-02
2/3/2022,ACWI,100.44,1,2022-02
2/4/2022,ACWI,100.89,1,2022-02
2/7/2022,ACWI,100.69,1,2022-02
2/8/2022,ACWI,101.47,1,2022-02
2/9/2022,ACWI,103.07,1,2022-02
2/10/2022,ACWI,101.58,1,2022-02
2/11/2022,ACWI,99.65,1,2022-02
2/14/2022,ACWI,99.28,1,2022-02
2/15/2022,ACWI,101.02,1,2022-02
2/16/2022,ACWI,101.25,1,2022-02
2/17/2022,ACWI,99.29,1,2022-02
2/18/2022,ACWI,98.55,1,2022-02
2/22/2022,ACWI,97.41,1,2022-02
2/23/2022,ACWI,96.03,1,2022-02
2/24/2022,ACWI,96.43,1,2022-02
2/25/2022,ACWI,98.57,1,2022-02
2/28/2022,ACWI,97.88,1,2022-02
3/1/2022,ACWI,96.22,1,2022-03
3/2/2022,ACWI,97.6,1,2022-03
3/3/2022,ACWI,96.61,1,2022-03
3/4/2022,ACWI,95.18,1,2022-03
3/7/2022,ACWI,92.22,1,2022-03
3/8/2022,ACWI,92.11,1,2022-03
3/9/2022,ACWI,94.9,1,2022-03
3/10/2022,ACWI,94.15,1,2022-03
3/11/2022,ACWI,92.85,1,2022-03
3/14/2022,ACWI,92.25,1,2022-03
3/15/2022,ACWI,93.69,1,2022-03
3/16/2022,ACWI,96.86,1,2022-03
3/17/2022,ACWI,97.85,1,2022-03
3/18/2022,ACWI,98.93,1,2022-03
3/21/2022,ACWI,98.58,1,2022-03
3/22/2022,ACWI,99.77,1,2022-03
3/23/2022,ACWI,98.65,1,2022-03
3/24/2022,ACWI,99.79,1,2022-03
3/25/2022,ACWI,99.98,1,2022-03
3/28/2022,ACWI,100.37,1,2022-03
3/29/2022,ACWI,101.98,1,2022-03
3/30/2022,ACWI,101.41,1,2022-03
3/31/2022,ACWI,99.78,1,2022-03
4/1/2022,ACWI,100.43,1,2022-04
4/4/2022,ACWI,101.4,1,2022-04
4/5/2022,ACWI,99.95,1,2022-04
4/6/2022,ACWI,98.8,1,2022-04
4/7/2022,ACWI,99.01,1,2022-04
4/8/2022,ACWI,98.92,1,2022-04
4/11/2022,ACWI,97.51,1,2022-04
4/12/2022,ACWI,96.97,1,2022-04
4/13/2022,ACWI,98.14,1,2022-04
4/14/2022,ACWI,97.11,1,2022-04
4/18/2022,ACWI,96.95,1,2022-04
4/19/2022,ACWI,97.98,1,2022-04
4/20/2022,ACWI,98.07,1,2022-04
4/21/2022,ACWI,96.55,1,2022-04
4/22/2022,ACWI,94.38,1,2022-04
4/25/2022,ACWI,94.53,1,2022-04
4/26/2022,ACWI,91.92,1,2022-04
4/27/2022,ACWI,92.27,1,2022-04
4/28/2022,ACWI,94.2,1,2022-04
4/29/2022,ACWI,91.73,1,2022-04
5/2/2022,ACWI,92.03,1,2022-05
5/3/2022,ACWI,92.59,1,2022-05
5/4/2022,ACWI,94.77,1,2022-05
5/5/2022,ACWI,91.54,1,2022-05
5/6/2022,ACWI,90.63,1,2022-05
5/9/2022,ACWI,87.76,1,2022-05
5/10/2022,ACWI,88.07,1,2022-05
5/11/2022,ACWI,86.97,1,2022-05
5/12/2022,ACWI,86.85,1,2022-05
5/13/2022,ACWI,89.14,1,2022-05
5/16/2022,ACWI,88.85,1,2022-05
5/17/2022,ACWI,90.65,1,2022-05
5/18/2022,ACWI,87.62,1,2022-05
5/19/2022,ACWI,87.7,1,2022-05
5/20/2022,ACWI,87.95,1,2022-05
5/23/2022,ACWI,89.37,1,2022-05
5/24/2022,ACWI,88.63,1,2022-05
5/25/2022,ACWI,89.24,1,2022-05
5/26/2022,ACWI,90.71,1,2022-05
5/27/2022,ACWI,92.56,1,2022-05
5/31/2022,ACWI,92.14,1,2022-05
6/1/2022,ACWI,91.46,1,2022-06
6/2/2022,ACWI,93.3,1,2022-06
6/3/2022,ACWI,91.75,1,2022-06
6/6/2022,ACWI,92.08,1,2022-06
6/7/2022,ACWI,92.78,1,2022-06
6/8/2022,ACWI,91.91,1,2022-06
6/9/2022,ACWI,88.94,1,2022-06
6/10/2022,ACWI,86.63,1,2022-06
6/13/2022,ACWI,83.42,1,2022-06
6/14/2022,ACWI,83.17,1,2022-06
6/15/2022,ACWI,84.44,1,2022-06
6/16/2022,ACWI,81.97,1,2022-06
6/17/2022,ACWI,81.93,1,2022-06
6/21/2022,ACWI,83.76,1,2022-06
6/22/2022,ACWI,83.28,1,2022-06
6/23/2022,ACWI,83.76,1,2022-06
6/24/2022,ACWI,86.31,1,2022-06
6/27/2022,ACWI,86.06,1,2022-06
6/28/2022,ACWI,84.79,1,2022-06
6/29/2022,ACWI,84.56,1,2022-06
6/30/2022,ACWI,83.89,1,2022-06
7/1/2022,ACWI,84.48,1,2022-07
7/5/2022,ACWI,84.05,1,2022-07
7/6/2022,ACWI,84.17,1,2022-07
7/7/2022,ACWI,85.51,1,2022-07
7/8/2022,ACWI,85.45,1,2022-07
7/11/2022,ACWI,84.24,1,2022-07
7/12/2022,ACWI,83.72,1,2022-07
7/13/2022,ACWI,83.38,1,2022-07
7/14/2022,ACWI,82.81,1,2022-07
7/15/2022,ACWI,84.22,1,2022-07
7/18/2022,ACWI,83.99,1,2022-07
7/19/2022,ACWI,86.12,1,2022-07
7/20/2022,ACWI,86.39,1,2022-07
7/21/2022,ACWI,87.27,1,2022-07
7/22/2022,ACWI,86.53,1,2022-07
7/25/2022,ACWI,86.8,1,2022-07
7/26/2022,ACWI,85.75,1,2022-07
7/27/2022,ACWI,87.85,1,2022-07
7/28/2022,ACWI,88.69,1,2022-07
7/29/2022,ACWI,89.82,1,2022-07
8/1/2022,ACWI,89.53,1,2022-08
8/2/2022,ACWI,88.83,1,2022-08
8/3/2022,ACWI,89.97,1,2022-08
8/4/2022,ACWI,90.11,1,2022-08
8/5/2022,ACWI,89.83,1,2022-08
8/8/2022,ACWI,89.87,1,2022-08
8/9/2022,ACWI,89.44,1,2022-08
8/10/2022,ACWI,91.31,1,2022-08
8/11/2022,ACWI,91.39,1,2022-08
8/12/2022,ACWI,92.65,1,2022-08
8/15/2022,ACWI,92.63,1,2022-08
8/16/2022,ACWI,92.7,1,2022-08
8/17/2022,ACWI,92.03,1,2022-08
8/18/2022,ACWI,92,1,2022-08
8/19/2022,ACWI,90.77,1,2022-08
8/22/2022,ACWI,89.06,1,2022-08
8/23/2022,ACWI,89.05,1,2022-08
8/24/2022,ACWI,89.28,1,2022-08
8/25/2022,ACWI,90.6,1,2022-08
8/26/2022,ACWI,87.9,1,2022-08
8/29/2022,ACWI,87.36,1,2022-08
8/30/2022,ACWI,86.46,1,2022-08
8/31/2022,ACWI,85.9,1,2022-08
9/1/2022,ACWI,85.69,1,2022-09
9/2/2022,ACWI,84.95,1,2022-09
9/6/2022,ACWI,84.48,1,2022-09
9/7/2022,ACWI,85.74,1,2022-09
9/8/2022,ACWI,86.14,1,2022-09
9/9/2022,ACWI,87.73,1,2022-09
9/12/2022,ACWI,88.81,1,2022-09
9/13/2022,ACWI,85.3,1,2022-09
9/14/2022,ACWI,85.64,1,2022-09
9/15/2022,ACWI,84.75,1,2022-09
9/16/2022,ACWI,83.99,1,2022-09
9/19/2022,ACWI,84.54,1,2022-09
9/20/2022,ACWI,83.5,1,2022-09
9/21/2022,ACWI,82.13,1,2022-09
9/22/2022,ACWI,81.52,1,2022-09
9/23/2022,ACWI,79.81,1,2022-09
9/26/2022,ACWI,78.86,1,2022-09
9/27/2022,ACWI,78.6,1,2022-09
9/28/2022,ACWI,80.21,1,2022-09
